172         lsm         Land-sea mask  [0-1]
142         lsp         Large-scale precipitation  [Kg m-2 s-1]
143         cp          Convective precipitation  [Kg m-2 s-1]
228         totp        Total precipitation  [kg m-2 s-1]
182         e           Evaporation  [kg m-2 s-1]
176         ssr         Surface solar radiation  [W m-2]
177         str         Surface thermal radiation  [W m-2]
146         sshf        Surface sensible heat flux  [W m-2]
147         slhf        Surface latent heat flux  [W m-2]
178         tsr         Top solar radiation  [W m-2]
179         ttr         Top thermal radiation  [W m-2]
180         ewss        East-West surface stress  [N m-2]
181         nsss        North-South surface stress  [N m-2]
151         msl         Mean sea level pressure [Pa]
167         tas         Air temperature at 2m [K]
168         tds         Dewpoint temperature at 2m [K]
78          tclw        Total column liquid water [kg m-2]
79          tciw        Total column ice water [kg m-2]
137         tcwv        Total column water vapour [kg m-2]
164         tcc         Total cloud cover  [0-1]
186         lcc         Low cloud cover  [0-1]
187         mcc         Medium cloud cover  [0-1]
188         hcc         High cloud cover  [0-1]
133         q           Specific humidity  [kg kg-1]
131         u           U component of wind  [m s-1]
132         v           V component of wind  [m s-1]
130         t           Temperature  [K]
129         z           Geopotential [m2 s-2]
149         snr         Surface net radiation [W m-2]
150         tnr         Top net radiation [W m-2]
80          pme         Precipitation minus evaporation [kg m-2 s-1]
169	    ssrd        Surface SW Radiation Downward [W m-2]
175	    strd        Surface LW Radiation Downward [W m-2]
205	    ro		Run Off [kg m-2 s-1]
141         sd          Snow Depth [m]
34	    sstk	Sea Surface Temperature [K]
208 	    tsrc        Top Solar Radiation, Clear Sky [W m-2]
209	    ttrc 	Top Thermal Radiation, Clear Sky [W m-2]
210	    ssrc	Surface Solar Radiation, Clear Sky [W m-2]
211	    strc        Surface Thermal Radiation, Clear Sky [W m-2]
243         fal         Forecast Albedo [0-1]  	    
165	    uas		10m U wind speed [m s-1]
166         vas		10m V wind speed [m s-1]
152         lnsp        Logarithm of surface pressure [none]
31	    ci		Sea-Ice Cover [0-1]
134         sp		Surface Pressure [Pa]
144	    sf		Snowfall [kg m-2 s-1]
